,C3L-02610,C3N-01998,C3L-01637,C3L-02606,C3N-00436,C3L-00819,C3N-00518,C3L-00102,C3N-00517,C3L-00640,C3N-01011,C3L-03123,C3N-02768,C3L-02809,C3N-02589,C3N-03780,C3N-03440,C3N-02010,C3L-04072,C3N-03069,C3L-02899
GGH,7.420326171,7.783387222,7.527364064,7.750841285,8.212514566,7.569855608,7.309227717,7.344336895,7.412562732,7.330154412,8.031781843,7.645160156,7.902520772,7.5927999,7.744853441,7.823849192,8.024265571,7.605040468,7.854723912,7.863318934,8.027125579
GGN,4.675893655,4.31942229,4.416413684,3.528133278,4.089173228,4.523561956,5.101712407,3.332094874,3.411958226,4.35034312,3.891565041,2.876477905,3.687274019,3.770755908,3.454955454,1.687435883,2.591407832,1.626814412,3.78223543,3.511696058,3.85076355
GGNBP1,0,0,1.021861907,0,0,0,0.994624861,1.003060505,0,0.9904437,0,0,0.996442126,1.019002117,0,0,0,2.052811232,0.993402377,0,0
GGNBP2,11.01055563,11.11443808,11.06729092,11.08859787,10.91486065,11.10394343,11.1005125,11.02089059,11.02893961,11.23808304,11.23100378,11.17713613,11.09672861,11.3202756,11.12896477,11.01898715,11.36414884,11.03372635,11.13731215,10.95828381,11.33787127
GGPS1,10.36292603,10.4376551,10.31162094,10.22216812,10.22704656,10.40979399,10.40976912,10.45900498,10.29555173,10.33736691,10.47577653,10.7264034,10.53189942,10.74760256,10.59426108,10.88390152,10.7510683,10.56929515,10.43579817,10.59517734,10.61088557
GGT1,12.56757086,10.28721636,11.45149085,11.36550162,10.64799708,11.4294852,8.295022148,10.96827738,11.27001136,8.821207956,11.59157761,11.17619329,10.08182694,7.940737213,9.602691985,10.68204569,10.34543652,11.57030847,10.4970426,10.0793024,9.063884887
GGT2,5.155123772,3.941634686,4.095716964,3.310879263,3.366188743,4.589164237,2.461780957,3.750210356,4.666257744,2.288261817,2.683335562,3.994593868,2.502028233,0,3.444438413,3.472400216,3.449573569,4.155669295,4.080586893,3.105461905,0
GGT3P,0,1.484565594,4.015703722,2.166515663,0,1.448900951,1.098400697,2.217779008,2.872679897,0,0,2.47416581,1.066581017,1.249814789,1.237183991,0,1.442820196,1.646427815,1.230613811,0,0
GGT5,10.08131402,10.81752956,10.23271791,10.09539581,10.55047014,10.63917789,11.36671766,9.808563263,9.992400062,10.02728254,10.73989954,8.939196818,10.17984016,11.01984569,9.291263735,9.540653951,9.892536548,10.03030776,9.477955671,9.268400434,10.85435604
GGT6,11.11246536,9.070003467,10.60106918,10.57013703,10.05427921,9.834597458,7.10432664,10.07405204,10.35925167,8.090113171,10.67120348,11.01826215,9.202939038,7.443312218,9.958842256,10.73135754,10.55849178,10.41701426,10.29922058,11.04312119,8.501573103
GGT7,10.02038148,9.338878191,9.715653161,9.613463146,9.520497913,9.35974956,9.067342343,9.438188427,9.666403249,8.963365482,9.793115167,9.931295315,8.948189371,8.246536662,8.928012278,8.735025431,9.589685619,9.525835239,9.048429846,9.847098783,8.293158907
GGT8P,7.731475903,6.293357015,7.536715836,7.190741229,6.876098153,6.93321853,6.285972451,6.926822743,7.309803653,6.289459725,6.790065844,7.653644905,6.302666352,6.624655692,6.887711574,7.85287906,6.987185651,7.236674537,6.908083968,7.18109307,6.401102057
GGTA1P,9.39795744,10.45131781,9.230910854,9.04966391,9.851456851,9.257387843,9.829522467,8.565292952,8.521675823,9.708840578,9.478911079,7.956049502,9.989471378,10.62545387,9.481571334,8.305255426,7.478083408,9.525835239,8.871815699,7.863318934,10.1970982
GGTLC1,3.376645656,3.354197956,3.760783265,3.065084927,3.409199199,3.189033824,0,2.553760319,4.141653476,0,4.926268393,0,3.210414048,2.648710335,4.095671386,2.49642988,0,3.53317556,3.78018657,1.238201305,1.033125879
GGTLC2,3.906589656,4.250010677,3.463669206,2.344307907,3.269799165,3.871843649,1.566844808,3.544377838,3.785275577,1.90759399,3.819250162,1.483798665,3.480706788,3.304995217,2.899282024,1.419634253,3.539610119,4.055740477,2.980207131,2.158692685,2.648089864
GGTLC3,0,2.832259012,1.374229012,1.650375635,0,2.521050737,1.291677846,1.140984859,1.757948772,1.857854546,1.470104651,1.490156665,2.16539572,0.419244216,0,1.087521973,0,1.167540005,1.021783041,0,1.715330272
GH1,0,1.584043557,0,0,1.620296556,0,0,0,0,0,1.022117749,0,0,0,0.998706098,0,0,1.026405616,0,0,1.603033064
GH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHDC,10.04231986,9.94842498,9.901839804,9.900139842,9.817722935,9.609178738,10.0133205,9.625558946,9.81472435,9.597397444,9.817931099,9.540527839,9.29771865,9.369476703,9.277998476,9.387032524,9.53452418,9.075838051,9.317496764,9.945181196,9.144745421
GHET1,7.538717004,6.950164346,7.553752063,7.55653576,6.03882051,7.257387843,7.402936639,7.585386708,7.965662127,7.753076928,6.834390865,8.137077825,7.771790884,7.904762873,8.541794627,8.804302282,7.99083602,8.065411995,8.111087884,8.00820653,8.462239295
GHITM,12.07674023,12.02093235,11.90117469,11.85891275,11.94210088,12.09176594,11.95705587,11.97722517,11.75383132,12.15216868,11.91057967,12.28229033,12.0864494,12.30016241,12.21599441,12.24016568,12.00494725,12.01206433,12.09676807,12.31126849,12.0426441
GHR,9.868481591,9.873793953,8.597868477,8.393854312,9.099635927,9.539721042,9.42377184,8.912707517,8.212654342,9.519544364,9.642043177,8.952136222,9.390761837,11.51319917,9.277745274,8.46852492,7.835391107,8.602907156,8.479619408,8.820404432,10.51398045
GHRH,0,0,0,0,0,1,0,0,0,0.9904437,1.022117749,0,0,0,0.998706098,0,0,0,0,0,0
GHRHR,1.048540275,0.999420211,2.043723814,0,0,2.321928095,0,2.592873792,0.986277112,0,1.022117749,0,0.996442126,0,2.318923748,0,1.116058605,2.052811232,2.306608889,0,1.011401256
GHRL,6.840217446,7.630819686,7.915593274,6.281584182,7.3471771,8.149239039,7.187377564,6.543527352,6.494597798,9.252512749,7.482028251,7.645160156,6.30892791,5.751101408,8.064602903,7.58922843,6.659709875,7.841841852,6.480521953,7.786366735,5.503993234
GHRLOS,7.229494112,6.726601833,7.682341738,7.201246542,7.100759325,6.376776572,6.88487175,6.479200744,6.608490335,6.923360633,6.71826719,8.075829252,7.00257108,6.40483817,6.488726652,6.788872687,7.632108284,6.49845649,6.736618858,7.547568408,6.168196208
GHSR,2.943624701,5.282337803,4.176822573,4.849315923,2.373691551,5.614709844,5.101712407,5.103033048,2.54948935,6.636408306,4.860054908,1.763704352,4.683716145,4.249162406,4.453661553,3.536702392,4.129907591,3.409645652,3.676025612,3.323450292,5.345662442
GID4,9.100784449,8.805463365,8.9428695,8.935548923,9.042685275,8.703903573,9.062162048,8.87256172,9.085474584,8.495460345,9.110022382,9.622663033,8.956704078,9.376983661,9.054358563,9.202711795,9.347034829,9.166558958,9.076708689,9.847098783,9.235971598
GID8,11.12415119,11.01389606,11.03867997,10.98960564,11.08165032,10.91214086,11.03772384,10.93422897,11.17597624,10.85598201,11.14042616,11.36080969,10.91739475,10.99621783,10.98647044,10.96752404,11.23434546,10.91562979,10.88264684,11.32364557,10.85023222
GIF,2.710437291,2.805727249,3.53506139,4.613396429,1.620296556,4.459431619,0,3.470019228,4.031371047,2.9713311,2.869447292,2.876477905,1.992884252,0,0.998706098,4.053513765,1.116058605,5.036460064,3.56131027,1.107816764,3.206066127
GIGYF1,11.40043751,11.07505852,11.34870485,11.18429184,10.99635553,10.9708249,10.90970868,10.95601303,11.30015253,10.83430958,11.31702325,11.54627791,10.63357307,10.82482581,10.56750955,10.78554746,11.39434829,10.85963681,10.89701464,11.50084732,10.45548377
GIGYF2,12.35280034,12.10019745,12.07007371,12.2558079,12.07020539,12.10787091,11.95543297,12.20748513,12.16081703,11.95935702,12.03461271,12.63964333,12.11833798,12.14023895,12.14436749,12.66143336,12.57200717,12.47642289,12.15747349,12.94601622,12.06507237
GIMAP1,8.728568914,9.932935117,8.362900145,8.249641532,9.603830589,9.096557042,9.566411472,8.677276275,8.343465051,9.389968923,8.362608884,7.816156487,8.951800088,9.800724945,8.543060143,8.174036114,8.214205892,8.857780896,8.357487415,7.79088966,8.88664242
GIMAP1-GIMAP5,6.303013878,8.514107228,7.640988182,7.190963168,8.707636887,7.446587085,8.713332088,7.699803114,7.761630709,8.773700969,7.926749458,6.938312936,8.232699352,8.5732891,8.11402258,6.813081915,4.027642611,7.473119231,7.102373913,6.333985934,8.522334755
GIMAP2,8.555953734,9.777326137,8.918729438,8.597874876,9.56391281,9.296916207,9.53903631,9.128514965,8.933689918,9.88476637,9.050718136,7.531456515,9.754703716,9.622379416,9.307613382,8.676656841,7.921819788,9.260608992,8.871815699,7.638194704,9.96090961
GIMAP4,10.12515038,11.23784448,10.12193765,10.15039506,11.0792345,10.59058705,11.00124315,10.49657255,10.23694332,11.55341846,10.13976873,8.939380652,10.93322392,11.60441373,10.53035555,10.03570582,9.436640706,10.42426071,10.59055075,9.320758067,10.76338445
GIMAP5,10.20522746,11.1547993,9.670957881,9.7680721,10.7085988,10.05692216,10.51315444,9.602358547,9.326119988,11.05208092,10.04528561,8.784672165,10.35015659,10.95979752,9.779648239,8.585525503,8.942620916,9.600212994,9.416131834,8.756252995,10.17492224
GIMAP6,10.32503622,11.31254489,10.15987683,9.83537578,11.21393042,10.54785851,11.09548863,10.20230574,10.07295094,11.10052105,10.32674979,9.638597585,10.88668269,11.71124319,10.44385006,9.735892457,9.332419307,10.28985955,10.16013799,9.816460623,10.6415599
GIMAP7,8.908246164,10.35703126,8.669288167,8.242654325,10.14758596,9.118941073,9.820372976,8.955101474,8.901288584,10.50779424,8.968865594,8.011604972,9.497470005,10.4231879,9.142972675,8.505181158,7.625905701,9.006490717,8.690475571,8.131208879,9.372439545
GIMAP8,10.01232435,10.82502737,9.666232831,9.700648769,10.76715697,10.11243951,10.5603971,9.664298441,9.704181497,10.79370238,9.825483506,9.385831217,10.40165195,11.54508646,9.831183986,9.33507818,9.151314883,10.18077693,9.707020866,9.268352003,10.40966702
GIMD1,0,0.999420211,0,0,0,0,0.994624861,0,0,0,0,0,0,0,0,0,0,0,0.993402377,0,0
GIN1,8.284377054,8.145021988,8.061206219,7.888315024,7.761947247,8.069906202,8.241464796,8.239459088,8.359421891,8.180764058,7.651645774,8.423535117,8.700254097,8.215957025,8.753530709,8.920673232,8.53099148,8.46571912,7.829482049,8.451929163,8.514637015
GINM1,10.97672055,10.80780784,10.67425087,10.78755586,10.57455273,10.79767774,10.74885545,10.43666626,10.73244233,10.71997532,10.78262037,11.23572408,10.81416635,11.38851869,11.07781693,11.13382583,10.8206566,10.84135059,10.50666715,10.78569954,11.12225414
GINS1,6.157639315,6.983610575,6.259696191,6.188093496,6.703220574,6.383704292,5.766885186,6.387909736,6.688558559,6.548724671,6.562730014,6.102603871,6.536458761,6.361613422,6.453527616,7.189337461,6.701124631,6.710554981,7.184847093,6.248518111,6.808064521
GINS2,6.469414856,6.625512994,6.060394565,5.46394888,6.086935036,5.95419631,6.783519551,6.228457431,6.217274672,6.622602322,6.424421165,5.796941928,5.734412337,5.140248288,5.850401344,6.363732025,6.481348436,6.158433696,6.225440645,5.935185925,6.135250225
GINS3,6.888758205,7.243725247,7.007909537,6.916032319,7.339973007,7.055282436,7.160973104,7.28902658,6.858764654,6.966209501,6.904290406,6.546049604,7.240932229,6.936709079,7.067658894,6.978365999,6.018142263,7.161519297,7.142388807,6.153466648,7.157500182
GINS4,6.604589074,7.426144459,6.389747255,6.8105496,6.29389116,6.459267667,6.203731642,6.652128607,6.322439626,7.011091366,6.919368706,5.840599664,6.476084727,6.794162384,6.137318482,6.447932104,6.692069029,6.629828608,6.912585191,5.596958363,7.28433617
GIP,0,4.31942229,2.043723814,1.616438641,0,0,1.989249722,1.589813287,0.986277112,0,2.373283917,0,0,0,0.998706098,1.064653506,0,1.026405616,2.980207131,2.215633528,0
GIPC1,10.27663827,10.38521886,10.34545391,10.65138897,10.86632013,10.6411486,10.84227313,10.87395618,10.72195181,10.39950621,10.58438815,9.786193386,9.853560345,9.804891177,9.786602315,10.62234605,10.23975476,10.02271904,10.0688377,9.792218138,9.425928087
GIPC2,10.38934872,8.228845917,10.05108517,9.940072623,9.141872726,8.980139578,7.840272746,9.931168464,10.55530797,8.316364307,9.566766148,11.43240803,8.717067881,8.994271598,10.53805539,10.76624417,11.14001406,10.3619722,10.39550462,11.50563248,8.125014112
GIPC3,5.093788728,6.890820226,6.325145927,5.755938847,6.223172519,6.06608919,6.705230663,5.825128363,6.270308031,6.130672738,6.222103814,5.10202501,6.107475799,6.598786078,5.577736109,5.118167271,4.976987034,5.177594453,4.967011885,6.011307062,6.091030369
GIPR,8.120629147,8.702655605,8.448040676,8.567061352,7.950064489,9.222166983,9.693724479,8.961564844,8.818090038,9.861948987,8.473234057,8.161335597,7.680693731,7.945899676,9.018321006,8.617556808,7.577153539,8.123430725,8.149274028,7.869489984,7.96904859
GIT1,9.877207633,9.941139171,10.15086007,9.912408432,10.01774001,9.659995892,10.3332507,9.902118256,9.882093008,9.9030409,9.70996109,9.867273264,9.598722213,9.843556268,9.522937668,9.569834663,9.896402745,9.554131456,9.728181155,9.935639425,9.537971554
GIT2,11.57546995,11.61668516,11.75988315,11.40446813,11.74240058,11.31288296,11.22589094,11.4810801,11.6140149,11.50006636,11.25119428,12.6242498,11.66226256,11.45560463,11.64891069,11.55085718,11.96346614,11.50482042,11.74575653,12.07783392,11.72131421
GJA1,11.56609875,11.88261056,11.25907904,11.84864967,11.61411793,12.46250227,11.35962332,11.94897346,11.50700508,11.81195755,11.44738388,10.03056358,12.59030998,12.9269017,12.1267151,12.01319581,11.47782097,12.28765954,11.68683951,10.14745902,12.91333927
GJA10,0,0.999420211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GJA3,2.434635123,3.58288398,3.992302674,3.38789904,3.66488317,6.129283017,7.01735931,5.97241916,3.535766462,7.693949225,4.177868317,1.763704352,3.447123396,3.653084379,1.997412197,3.816742894,2.884969644,3.079216848,3.56131027,2.215633528,3.85076355
GJA4,7.229494112,8.716042794,7.92442413,8.541361294,8.426941591,8.033423002,8.782261746,8.443615397,8.387128691,8.251304137,7.573269982,7.014680497,8.010317527,9.570791341,7.92636871,7.6755698,7.209104244,8.052655048,7.481692245,8.451929163,7.493867298
GJA5,7.475340374,9.403935478,8.494618428,8.382394906,9.243227634,8.632995197,9.067342343,8.525859711,8.676932203,8.888652392,8.76327696,6.973514322,8.493236195,10.06731625,8.551163725,8.468462987,7.910023895,8.480260549,8.349687508,7.119123826,8.547565532
GJA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GJA9,3.529357654,4.189763579,5.12944217,1.37153576,3.61996018,5.241458871,4.545896057,4.898076867,5.572936502,4.962452045,5.68370545,0,5.178039767,3.498192905,1.331698415,5.613275427,5.96315965,5.219621196,0,0,5.357957098
GJA9-MYCBP,6.602281626,7.316601124,7.860470031,7.034831379,7.454797504,7.02103548,7.112932157,7.397349229,7.07961255,6.199643531,6.374429794,7.67412369,7.716205986,7.39635014,7.31245424,5.604907167,6.864158388,7.468732549,7.571182276,7.454056777,7.332960925
GJB1,11.12802005,8.815065123,10.61511915,10.67652289,10.14910096,10.03066714,7.180364485,10.45606951,10.91820692,8.812814975,10.72902055,10.82118183,9.017650327,5.917706962,10.16549466,11.13348721,10.63103947,10.39939488,10.48018117,11.09369975,7.536164276
GJB2,6.116020098,7.471399085,8.558133763,9.460341124,9.138871997,9.442943496,10.21160113,8.706043695,8.973180808,8.320598112,6.651732406,5.512898628,9.078719396,8.288997644,8.32460518,10.69815678,9.089915921,8.084501228,9.551275613,5.325668374,8.659862741
GJB3,6.856571377,6.471978874,6.10795466,6.164431153,6.891756579,5.906890596,6.857757158,7.978540171,8.425796752,7.32167422,6.745888055,5.349497415,4.37669011,3.981129789,5.080880165,7.950412428,7.568394865,4.195394815,4.554712647,6.516890587,5.949712568
GJB4,4.454123082,5.456266302,4.745379741,4.16863672,5.51253001,4.169925001,5.669799061,5.825128363,6.881531493,5.802000371,4.746567833,3.696553727,3.158646807,2.038004235,4.164529529,7.205771169,5.724580451,3.079216848,2.788833053,5.381752786,4.637236831
GJB5,3.483175397,3.805147461,3.394551777,2.863106839,3.395984857,3.700439718,3.152886213,2.815946847,5.917662673,3.426372252,4.489465595,4.236723862,0,2.366049645,4.082174066,6.363732025,4.001028249,2.383240036,2.306608889,6.187115085,1.603033064
GJB6,1.661897016,3.320002079,1.021861907,2.368039807,2.869940147,2,4.72932932,1.589813287,4.18963368,2.780526996,2.373283917,0,1.579323404,1.615080144,0.998706098,6.610916294,0,1.026405616,0.993402377,1.107816764,1.011401256
GJB7,3.429281316,3.846766825,3.781338386,2.789847551,4.122890931,4.153805336,3.68054934,3.470019228,6.025110235,3.642923147,4.262154354,4.348554433,4.233570335,3.047789336,4.385947924,5.387197186,3.133172619,4.416674773,4.041827254,4.619512822,4.575770516
GJC1,8.401793821,9.163681891,9.174212993,9.105137212,8.951154979,9.146212254,9.703615721,8.681554426,8.788392545,9.062611241,8.474693945,8.707973437,9.416372722,10.06090372,8.951212274,9.228905856,9.084901348,9.762490299,9.0051511,9.062391442,9.58812731
GJC2,5.758429155,6.300125888,5.28294942,4.613396429,6.013786616,6.22881869,7.451583343,5.90064691,5.284030919,6.29679733,6.386117603,5.40583277,5.302993345,6.647523446,5.799840776,6.481038655,4.561848079,5.036460064,4.142413408,4.099409154,5.101906547
GJC3,5.689657137,3.168087115,5.19868448,5.633255662,4.262886419,4,2.792264999,4.012242021,5.961447576,4.541147224,5.284272103,8.033299801,2.57576553,3.230160288,6.921769645,7.45257454,7.014877235,5.036460064,5.867919158,7.453303067,2.022802512
GJD2,4.531715672,6.244305036,7.597163377,8.14733384,5.709469784,8.854868383,8.804169658,6.734794502,4.18963368,9.135854347,7.737283771,4.640182257,7.609454471,5.563172379,7.120058426,4.944097772,4.129907591,7.903774572,5.390464305,3.110034846,8.365768094
GJD3,7.242152963,8.170185953,7.274574699,7.184290386,7.319488546,7.366322214,7.62413367,6.903707415,7.061617225,7.599105344,7.233338825,6.546049604,6.77024219,7.395293578,6.591373204,6.730662909,6.266345239,6.727666808,7.171539168,6.900389766,7.210565796
GJD4,1.048540275,1.998840423,1.021861907,1.616438641,1.022293307,1,1.989249722,0,0.986277112,1.569816124,2.044235497,0,0.996442126,1.615080144,0,2.472048886,0,0,0,1.107816764,1.011401256
GJE1,0,0,1.021861907,0,1.620296556,0,1.576443107,1.003060505,0.986277112,0,2.044235497,1.112773552,0,0,1.582911715,0,0,0,2.306608889,1.107816764,0
GK,9.393646558,9.304896669,9.635658455,10.04000604,9.237816439,9.88151168,8.607047564,10.35899124,9.323889487,10.53612625,8.98706751,9.062365903,9.590879361,8.951194768,10.17283547,9.524857065,9.161414923,9.799738171,11.13651404,8.845398834,10.4531929
GK2,0,0,1.021861907,0,1.022293307,1.584962501,0.994624861,0,0,0,2.044235497,0,0,0,1.582911715,0,0,0,0,0,2.348400991
GK3P,7.13006746,7.019848259,7.075838056,7.482249472,6.515915761,7.38145643,6.807446272,6.896207187,6.893675781,7.249454773,7.442373897,6.243635754,7.695807027,6.758443544,7.131130735,6.996397268,6.820967775,7.644746004,7.51477409,6.319952799,7.262070931
GK5,11.15462921,10.73053201,11.03000388,11.21763952,10.55947417,10.93069299,10.52267571,11.06247454,11.06087535,10.58406495,11.03800501,11.62378827,11.07228587,11.03243773,11.24104919,11.64737744,11.42696625,11.47238076,11.23787859,11.27776326,10.93695028
GKAP1,8.526148034,7.639424369,7.829206373,8.406877099,7.339973007,7.794415866,7.815805103,8.221811182,8.047894337,7.789033623,8.190759069,8.920892238,7.999343718,7.452028123,8.605253034,8.308076815,8.431363899,8.437889257,8.27888719,8.990788241,7.522593866
GKN1,0,0,0,0,8.218133078,0,0,4.769439861,0.986277112,0.9904437,0,5.922100832,0,1.019002117,0,1.687435883,0,0,0,0,1.011401256
GKN2,0,0,0,0,7.872107984,0,0,4.822067857,2.54948935,0,0,6.214798562,0,0,0,0,0,0,0,0,0
GLA,8.997734416,9.098009825,8.946286037,9.123093493,9.36407516,9.312882955,9.030681289,9.288082757,9.198443941,9.319471973,8.985603619,8.044038255,9.186367879,8.865766495,9.384446499,8.665801882,8.684453471,8.897792232,9.355717074,8.198818309,9.523093049
GLB1,11.52579614,11.37478733,11.38873143,11.50183837,11.69486254,11.67882458,11.43105901,11.407126,11.49734638,11.19274822,11.42400205,10.98519506,11.48256257,10.87342131,11.28630221,11.37648795,11.08987028,11.47064682,11.45433306,11.08439861,11.36169705
GLB1L,8.164217295,8.987073297,8.294791757,8.491694318,8.617497205,8.597456684,8.396158861,8.512082767,8.140301149,8.097890977,8.200484957,7.491038061,8.535121859,8.722490933,7.947791675,7.960790645,7.82606347,8.234374227,8.303503971,7.680604934,9.089385048
GLB1L2,9.093313096,7.624933206,8.851141083,9.137822516,8.498204606,8.199279721,8.504785331,8.513817114,9.837494383,7.877549694,9.031387091,9.444954468,7.830023288,6.178942133,8.51644329,9.273623983,9.145828907,8.484787637,8.164941545,9.547510602,6.690125843
GLB1L3,3.343830403,4.375973012,3.069266709,3.510641078,3.86243734,4.569855608,5.763270074,3.905277867,3.702305213,4.864279184,3.669160973,2.59338375,3.062883968,3.095098915,5.421252759,4.669699266,3.128565657,4.333358346,3.898210154,3.518783616,4.168838499
GLCCI1,8.474458777,9.689067832,8.85840334,8.070033252,8.693404135,8.991521846,9.01199343,8.720093421,9.021678857,9.319471973,8.704047946,8.363272009,10.13627266,9.832612476,9.250110606,8.505181158,8.562876328,8.695375016,9.003598217,8.798850718,10.52807107
GLCE,10.5796533,10.56751671,10.43140583,10.52346116,10.47395996,10.88264305,10.80039076,10.83638755,10.7287802,10.80191666,10.28459594,10.49162984,10.84924406,11.00449084,11.02737233,10.86305628,10.40633194,10.68643335,10.74958397,10.60374804,11.00903556
GLDC,4.285869411,5.640583946,4.622455646,3.773927614,5.156850346,5.672425342,6.951119534,4.012242021,3.755107017,6.944225864,4.91368279,2.225547105,7.424700641,4.95029292,4.164529529,4.816026095,4.001028249,4.436051268,4.363338568,3.323450292,6.549564924
GLDN,6.426800099,8.129710072,8.433084435,6.208355186,9.387100289,8.962896005,9.867029578,9.647822622,7.804301643,5.23489333,8.309084455,4.72698139,8.901905708,9.702531009,9.862204093,8.018311675,6.481348436,6.543376274,10.68724451,4.940233106,9.158524027
GLE1,10.15852064,10.31256024,10.1673489,10.20861614,10.36559548,10.17367714,10.36813494,10.21106476,10.30677359,10.37562418,10.4164625,10.06131917,10.26142336,10.25599419,10.13407544,10.13511411,9.973811676,10.10707496,10.34597307,9.96409552,10.17403362
GLG1,13.70569639,13.21379761,13.62765893,13.47227066,13.44160448,13.26704414,13.27664397,13.18114188,13.57626092,13.08388499,13.52911346,14.23277287,13.24123687,13.38007921,13.19903463,13.58029327,14.01170778,13.1825852,13.1549681,14.27933284,13.66996148
GLI1,7.386330946,9.105853137,8.480644531,8.449943955,9.036258871,8.915162334,9.56160111,8.204943745,8.406594071,8.0049136,8.287866762,6.599567656,8.587722371,9.199455326,8.066364992,7.665156402,7.349204066,8.234203376,8.328391772,5.682305714,9.172173739
GLI2,6.888758205,8.494917773,8.787923335,8.716629231,8.784011319,8.442943496,8.946007535,7.737855007,8.398839844,8.51034494,7.820275729,6.433344187,8.516485685,9.188146737,7.474132456,7.685913074,7.849712267,8.164231763,7.799946161,6.119094533,9.861030183
GLI3,8.463253364,9.504261345,9.247695495,9.134983221,8.932893232,9.116343961,9.690780599,8.561397633,8.784662334,9.497082002,8.533383224,8.300658222,9.718516032,10.45709638,8.671759643,8.517228046,9.252146874,8.613921733,8.349687508,8.263683398,11.0128886
GLI4,6.935789678,7.214982928,7.326673234,7.139014633,6.87790805,6.727920455,6.939776073,6.620111911,6.97970125,6.828928816,7.143258658,6.373878393,5.680158271,6.043433905,6.258677935,6.155144887,6.392694915,6.412907888,6.004515485,6.812792954,5.737098114
GLIDR,9.321768267,8.531880448,9.140978392,8.828881692,9.395705969,9.441865217,9.263479061,9.046972155,9.201587683,8.869664059,9.009999624,9.551153082,8.643189812,8.609658296,9.324247735,9.366357633,9.172587402,8.718633764,9.006274552,8.723764,8.464491776
GLIPR1,10.78333668,11.6779827,10.91466087,10.806698,11.25473041,11.08684612,11.18517721,10.80463779,10.4763859,11.58231418,10.57351942,9.580477468,11.63521924,11.58362,11.22011925,10.75138167,10.0308526,10.9660581,11.08165648,9.337728065,12.16088931
GLIPR1L1,3.880060079,4.31942229,3.06558572,3.882966072,3.66488317,3.906890596,4.06549216,3.179626574,3.945108448,2.9713311,2.869447292,3.527408705,4.568649781,4.609519211,4.164529529,3.683096,3.537822077,4.436051268,4.060495302,3.110034846,4.296359222
GLIPR1L2,11.1075287,10.75704664,11.03202016,11.12594328,10.49071473,10.91184884,10.86181732,10.85705114,10.94987695,10.78490569,10.96807301,11.3230269,11.10984359,10.81679616,11.0198547,11.35004664,11.21529311,11.11072497,11.01327093,11.38888898,11.06343465
GLIPR2,9.261640923,10.35921921,9.34197095,9.412095954,10.21571398,9.888743249,9.847648271,10.05443211,9.237789224,10.27589244,9.277574322,7.531456515,10.12623482,9.664028358,9.728862486,8.925740166,8.269314516,9.482350507,10.05475545,7.422859447,9.944997309
GLIS1,2.09708055,3.805147461,3.781338386,2.039718467,2.642589863,2,2.983874582,1.589813287,1.563212238,2.780526996,3.395401665,2.225547105,3.158646807,3.653084379,2.318923748,1.064653506,2.232117211,1.626814412,1.574505516,0,3.034203767
GLIS2,8.8440474,8.795797238,9.64726457,9.005074259,9.162708597,9.164906927,9.555689576,8.698967346,8.884806966,9.356804065,9.16703351,8.309753957,8.98750016,9.487534139,8.144266577,7.57920557,8.586382325,8.395904628,8.653335817,8.131208879,9.833659747
GLIS2-AS1,2.710437291,2.583463769,2.043723814,1.616438641,0,0,2.309447408,1.003060505,2.290064536,0.9904437,0,2.583780175,2.989326378,2.366049645,2.581617814,2.129307011,1.116058605,0,0.993402377,1.755848029,0
GLIS3,11.92587644,10.52879789,12.05767895,11.80574837,11.08477695,11.34898813,10.35512618,11.38598347,11.18532103,10.26397477,11.78747048,11.50812742,11.26006182,10.04206824,11.36232703,10.60729377,11.41452478,11.60540037,11.23335784,11.37362743,10.52551533
GLIS3-AS1,5.300667234,3.592464471,3.997208619,4.257632845,4.351141892,4.428276414,3.185983504,5.150758111,5.345167167,3.665077206,4.870395412,3.56443753,4.173341416,2.052632309,4.933774661,3.019276508,4.014390419,4.378684226,4.675478638,3.524078734,3.498873484
GLMN,7.363235476,8.160173006,7.64742626,7.895206586,6.347882615,7.924812504,8.011984171,7.844112662,7.845041766,8.246859629,6.957918287,7.838815469,8.100360051,8.632654981,8.476857604,8.09127385,7.708494686,8.343941742,8.275952629,7.886482263,8.526570298
GLMP,10.21785075,10.39378227,10.00021614,10.24386809,10.64578213,10.40301202,10.37854065,10.17442709,10.03036426,10.01321808,10.14584331,9.582120654,10.57235266,10.04371848,9.936952614,10.02450248,9.678934933,9.9777908,10.21409373,9.571808187,10.35271761
GLO1,11.13476684,11.17156143,10.81156319,10.91117274,10.68420317,11.15545073,11.19335649,10.94853827,11.08947205,11.23698515,11.09813509,11.10722408,11.44496417,11.67509538,11.50473098,11.4520054,11.036417,11.45907809,11.42743423,11.20417312,11.54108078
GLOD4,10.37034042,10.47370421,10.40626907,10.4634939,10.67998326,10.45840661,10.26644629,10.39365656,10.16125696,10.49030658,10.43650841,10.75730605,10.43947126,10.52722617,10.68138972,10.69960649,10.3474961,10.60256097,10.40258705,10.28139344,10.94031082
