,C3L-02610,C3N-01998,C3L-01637,C3L-02606,C3N-00436,C3L-00819,C3N-00518,C3L-00102,C3N-00517,C3L-00640,C3N-01011,C3L-03123,C3N-02768,C3L-02809,C3N-02589,C3N-03780,C3N-03440,C3N-02010,C3L-04072,C3N-03069,C3L-02899
PPM1B,11.29597526,11.00858258,11.31406728,11.46976524,10.8247721,11.16701037,10.71106882,11.31881026,11.07646293,11.02052771,11.35131201,12.0094519,11.36142193,11.26574303,11.48533434,11.21970571,11.62325752,11.68894589,11.63357288,11.76249328,11.8583605
PPM1D,9.516257735,9.510182743,9.399691142,9.419434353,9.306203382,9.214634828,9.310138339,9.423773452,9.321675809,9.581725295,9.713703949,9.938644775,9.400749364,10.2310346,9.826991809,9.095162869,9.551570954,9.566620977,9.862454787,10.10785455,9.997572574
PPM1E,5.86954926,7.025598009,7.40793204,6.931864123,6.738201518,8.221490455,9.377514803,6.846675981,5.901789196,8.047355167,7.285491364,6.075111117,8.133651596,7.044736793,7.290860917,5.288804432,6.079079556,7.152796954,6.472241736,6.361389337,7.612904212
PPM1F,10.78101774,11.46705343,10.92012781,11.0464087,11.33396111,11.07881795,11.22071169,10.96047942,10.67562443,11.03499734,10.7593217,10.53303195,10.74300099,11.48802159,10.49419859,10.35867483,10.22857324,10.5026143,10.73844935,10.70545167,10.712279
PPM1G,10.92243174,10.99009786,10.76261331,11.00629721,11.20803393,10.97799537,10.96518919,11.05679739,11.05862855,10.85454736,10.83245756,10.62353166,10.87927256,10.63820978,10.73846812,11.19976762,10.88888864,10.6744254,10.94343169,10.79735196,10.68169989
PPM1H,10.39092202,9.742540958,10.3832736,10.14742264,10.01939437,10.38909352,10.15699797,10.41656644,10.42947957,9.841680446,10.24120152,10.76125051,10.02759079,9.216256758,10.12770853,10.47534281,10.67627693,10.0596987,10.11274589,10.78614928,10.24737285
PPM1J,6.034231323,5.973814364,5.676022756,5.600917089,5.798882461,5.857980995,5.142135935,5.68978583,5.825830998,6.22533703,5.987546346,4.548420547,4.84069691,5.459356837,4.748735146,5.27450247,4.902083658,5.306440055,5.175083356,5.813742076,5.101906547
PPM1K,10.38061873,11.09188039,10.46820362,10.25016633,10.38841689,10.48469201,10.86381485,10.19980597,10.51413202,11.15540147,10.24861271,11.35831288,11.03422755,11.07447244,10.91449623,11.67160101,11.31061371,10.78528994,10.67233066,12.19890217,11.27698384
PPM1L,9.597177185,10.07884183,10.09242076,10.20375596,9.703949428,10.7085149,11.3508993,10.50543489,10.07199162,10.87728826,10.45965808,10.21839525,10.61737012,10.70218493,10.63507331,10.77901153,10.45392552,10.54927392,10.53595923,10.34143179,10.91866016
PPM1M,9.641072879,10.21927898,9.481294056,9.323662295,10.15061441,9.796039609,10.13995862,9.41242317,9.525672929,9.827024848,9.600054338,8.406546674,9.937497179,10.09820204,9.403558725,9.019398716,8.570749851,9.283216917,9.521724531,8.451929163,9.886231908
PPM1N,4.096532139,4.997101057,3.394551777,2.863106839,5.016281414,4.392317423,5.293321991,4.012242021,4.791315466,5.589921807,4.489465595,2.225547105,3.985768503,4.95029292,4.453661553,4.439525271,2.591407832,3.679625644,3.881114404,2.863664793,3.951434055
PPME1,9.556125715,9.437468584,9.514160531,9.800009661,9.806304626,9.888743249,9.968496191,9.953697882,9.804627724,9.788201548,9.5622704,9.39969081,9.584164497,9.515056489,9.70167624,9.843310101,9.614521055,9.629268371,9.435188591,9.539437627,9.565206898
PPOX,8.44059041,8.352706391,8.203411329,8.295969791,8.341781853,8.299208018,8.203593755,8.018820198,8.335236089,8.246859629,8.309084455,7.8509317,8.079675347,7.690301434,8.028517419,7.897442685,7.315305293,8.000232218,7.884274994,8.208247491,7.738283289
PPP1CA,11.45805999,11.64291051,11.36903871,11.42313359,11.93515699,11.42533656,11.40069141,11.61951833,11.66854139,11.39117797,11.34082918,11.27900607,11.17814821,10.65341409,11.21959299,11.36190792,11.3507354,11.13076089,11.51088332,11.42310005,10.84201867
PPP1CB,12.74547965,12.90600448,13.27554129,13.19448771,12.47383648,13.49685378,12.88329945,13.45706554,13.02034848,13.08788877,13.08547278,13.60790602,14.04023378,13.68099151,14.01001229,13.34028138,13.84486488,14.13206327,13.94539607,13.32509858,14.25468443
PPP1CC,11.94023022,12.23845287,11.96726673,12.02116882,11.76129945,12.27699674,12.06920209,12.07576417,12.16197724,12.10119923,11.6880691,12.69311468,12.53714185,12.58027656,12.6111951,12.83974295,12.65966003,12.428928,12.44166625,12.61762453,12.76317886
PPP1R10,11.46904816,11.44817198,11.62649217,11.26303049,11.69326897,11.08148344,11.15162283,11.32457201,11.34448933,11.31239125,11.77090473,12.63532152,11.19544174,11.40873476,11.34997708,11.39318344,12.28526969,11.56909295,11.82234938,12.0936212,11.58541261
PPP1R11,9.979659676,10.07497278,10.10025733,10.15632194,10.36951277,10.01820018,10.09645341,10.24679769,10.2305194,10.12270933,10.24828757,10.11817967,10.12999315,10.05635108,10.26166568,10.46693572,9.993407847,10.13573631,10.39854423,10.29673668,10.13663539
PPP1R12A,11.7055363,11.9746205,11.52857453,11.79526165,11.6407928,11.79928162,11.97591213,11.72621319,11.65875875,12.22220231,11.40753373,11.69720034,12.22372617,12.88824511,12.09806818,12.0267458,11.83219752,11.971085,11.96051213,11.62526899,12.56740947
PPP1R12A-AS1,5.525969917,5.752618532,6.16959535,5.392251388,5.238566355,5.477677328,5.904259055,5.092353218,5.689028178,5.681784158,5.627668841,5.911631717,5.630945961,5.817498235,5.998526465,6.37127144,5.900056717,5.999586265,5.955254506,6.429484531,5.722433231
PPP1R12B,12.02645606,12.40650464,12.17690201,12.04562428,12.1621599,11.98543283,12.11748331,12.35150203,11.94689972,11.65925915,12.28361039,12.15817969,12.39028871,13.71729561,12.48763709,11.80249103,12.05539369,11.71047238,12.20526044,11.94017094,12.34491755
