Protein.Group	Genes	CGGA_P137	CGGA_P173	CGGA_P271	CGGA_P647	CGGA_P660	CGGA_P736	CGGA_P778	CGGA_P802	CGGA_P83	CGGA_P153	CGGA_P295	CGGA_P679	CGGA_P698	CGGA_P714	CGGA_P737	CGGA_P151	CGGA_P179	CGGA_P541	CGGA_P658	CGGA_P687	CGGA_P699	CGGA_P704	CGGA_P711	CGGA_P721	CGGA_P84	CGGA_P882	CGGA_2103	CGGA_P1088	CGGA_P109	CGGA_P401	CGGA_P411	CGGA_P568	CGGA_P633	CGGA_P653	CGGA_P87
Q9BU89	DOHH	19.4409	17.2179	NA	22.016	NA	NA	25.6923	25.6423	NA	NA	NA	NA	17.1689	NA	NA	NA	NA	NA	NA	14.0145	NA	NA	NA	NA	15.439	NA	25.617	NA	NA	NA	24.1775	NA	NA	NA	NA
Q9BUB7	TMEM70	78.7017	63.041	103.292	126.056	70.5247	88.0951	56.238	92.6395	139.071	59.3791	72.5138	123.746	92.7224	50.9371	74.4415	85.1279	59.408	83.442	78.9513	53.6031	74.1581	86.6203	79.3298	69.6404	77.0617	72.8166	92.9413	114.579	36.3679	118.743	69.0711	84.5443	74.8652	210.922	71.3798
Q9BUE6	ISCA1	55.4751	48.9837	79.3017	53.6262	57.7414	70.6941	43.1992	35.2821	63.9414	38.1457	41.7441	58.3456	44.2752	NA	59.0904	50.3495	67.1278	77.3108	48.9279	42.5389	54.9289	65.145	59.4052	44.0247	51.1685	51.4791	31.3205	55.649	25.3625	35.2302	30.4392	52.9552	44.432	57.9028	55.4099
Q9BUF5	TUBB6	677.009	647.005	701.511	831.182	919.768	1234.62	1156.14	1288.73	1071.36	1326.43	1683.22	688.501	2030.71	1959.21	1736.16	1108.04	1193.86	1690.41	836.104	1203.59	1295.55	1164.55	1516.78	1854.05	1158.55	1137.71	967.607	977.675	2272.63	1757.46	1209.6	473.994	1426.93	1016.37	1119.04
Q9BUH6	PAXX	59.816	58.5749	34.3056	32.9478	71.6166	59.4318	52.9249	69.1971	38.8272	43.9298	85.7554	42.4002	40.4455	66.2112	48.8785	31.8141	29.3637	21.3492	42.5161	85.8515	31.498	38.7353	41.975	29.6659	37.2581	48.4018	34.9495	63.0506	37.6892	65.5726	28.073	35.2493	41.0096	34.7593	50.6228
Q9BUI4	POLR3C	NA	NA	NA	NA	NA	NA	10.4453	NA	13.3854	NA	NA	NA	NA	NA	NA	8.21116	NA	NA	NA	NA	NA	13.3467	NA	NA	NA	NA	NA	NA	NA	NA	16.2154	NA	NA	19.1962	27.4188
Q9BUJ2	HNRNPUL1	313.388	458.297	302.387	284.349	546.74	480.161	343.261	385.992	430.028	349.241	229.634	376.468	373.298	443.984	311.912	222.843	202.307	295.714	292.676	343.432	281.691	294.481	245.229	255.913	385.369	198.208	499.577	639.734	494.641	403.338	973.658	706.706	384.182	510.993	703.645
Q9BUK6	MSTO1	17.2586	14.7215	19.9261	9.76695	14.5519	17.1922	19.6887	42.5579	NA	22.4176	26.435	14.0716	31.8775	18.956	17.9755	11.792	24.6621	NA	24.2082	20.3736	18.2559	14.6069	14.7284	13.5068	16.5357	15.5043	37.1886	16.4405	19.4401	18.0917	21.6838	24.3627	16.5361	29.8857	14.7486
Q9BUL8	PDCD10	69.9869	84.5238	75.8285	74.9101	79.4921	79.7554	78.1044	97.2453	74.0112	90.6594	62.3905	70.5309	86.1905	66.2723	74.7516	104.465	80.5999	69.2837	89.5918	70.4329	80.547	84.287	68.493	77.7451	96.5026	81.9265	75.0932	58.6957	68.3707	92.1431	87.9542	62.5097	83.5822	48.0455	95.2601
Q9BUN8	DERL1	107.858	92.7126	66.5434	37.7261	198.879	121.311	94.8327	85.8132	91.2165	74.4114	15.3975	167.796	81.6599	111.547	60.9045	35.3581	51.9265	83.6955	84.9336	42.2107	42.0347	74.659	79.3654	77.0266	57.881	73.5018	174.961	145.118	63.5611	82.2483	68.2575	77.6523	142.994	114.285	143.885
Q9BUP0	EFHD1	NA	31.0642	73.4113	NA	91.199	NA	NA	NA	NA	23.2071	NA	NA	NA	44.8823	48.6642	NA	NA	NA	38.0142	182.203	19.5173	NA	NA	27.9516	NA	50.6984	NA	38.9832	47.0272	77.6859	NA	NA	32.5689	24.4315	NA
Q9BUP3	HTATIP2	NA	19.4496	42.074	NA	NA	NA	NA	NA	NA	53.5293	50.0891	NA	55.2288	NA	48.1112	NA	39.3132	41.19	48.2358	32.9138	NA	NA	44.086	43.9581	30.7736	NA	51.0298	NA	NA	43.7593	NA	NA	66.4192	NA	22.0484
Q9BUQ8	DDX23	53.151	98.0207	44.2841	44.0687	77.9165	73.5007	77.7402	80.1734	92.314	49.3671	59.9282	81.4253	71.2658	64.4392	60.5033	43.8973	33.4669	37.453	56.5563	52.0263	42.1049	57.8279	45.9343	42.5746	65.5823	58.8966	145.71	137.554	110.548	108.883	185.425	118.699	87.6448	125.62	131.341
Q9BUR5	APOO	336.067	215.431	356.314	314.834	250.239	271.367	221.498	277.417	374.805	185.236	310.134	425.063	227.263	218.421	200.724	366.351	198.338	154.465	186.807	192.587	226.51	214.002	248.947	223.711	273.796	350.267	235.98	297.375	131.87	241.626	201.416	208.234	270.323	224.056	231.112
Q9BUT1	BDH2	718.797	609.467	563.264	743.43	480.516	332.128	898.136	593.715	544.952	289.849	488.414	351.071	211.882	97.1501	415.719	163.351	207.329	155.946	199.818	411.32	332.274	178.841	237.875	259.921	286.615	246.492	154.364	210.554	324.645	378.754	189.525	153.226	311.212	319.966	181.27
Q9BV10	ALG12	29.1401	25.9944	17.9526	NA	39.9614	27.091	24.2668	24.1361	NA	32.5534	NA	31.7306	NA	NA	26.7812	NA	13.4013	NA	19.1763	20.102	19.3305	NA	NA	NA	22.3288	17.2453	NA	35.3257	26.6441	NA	NA	NA	28.1291	26.4276	NA
Q9BV19	C1orf50	86.7438	41.8871	79.6186	NA	60.1696	NA	47.0554	NA	NA	68.8843	84.7538	NA	79.7362	NA	56.3906	65.1903	NA	NA	NA	NA	NA	NA	NA	NA	49.6308	44.815	NA	NA	94.6673	114.789	97.114	77.8451	NA	57.0364	134.819
Q9BV20	MRI1	60.3023	78.7737	64.0495	49.0193	76.2781	48.5274	108.791	59.5069	42.086	57.6654	51.438	59.3384	23.7493	64.128	42.6969	29.0879	31.7859	34.8328	75.6532	35.9333	23.3887	15.1078	48.2687	26.1263	39.1496	79.6264	68.6969	54.7188	13.9451	24.0928	30.1869	14.7382	37.5461	47.4229	45.185
Q9BV23	ABHD6	169.672	156.523	152.08	83.6167	141.464	133.632	154.256	132.52	122.6	167.277	59.0699	161.355	103.827	151.711	137.599	88.2327	95.6898	127.529	123.562	98.01	95.4381	102.711	125.828	91.9597	174.984	108.488	91.6192	188.495	65.5525	114.276	49.0001	87.6738	84.0538	171.546	87.7674
Q9BV35	SLC25A23	57.5594	57.131100000000004	61.4978	54.2635	41.8958	50.7368	43.2248	42.4739	62.2604	17.2296	NA	46.6914	22.54	38.7185	40.324	45.8633	44.7849	40.9083	31.449	30.5535	39.255	31.886	47.7743	52.9456	42.9865	37.0626	NA	48.4225	25.8753	41.3513	37.7305	47.0103	41.8061	43.7761	40.4807
Q9BV38	WDR18	44.0796	40.9276	27.5985	40.2366	50.5536	51.4635	44.001	49.4195	47.8032	35.151	33.7925	70.7294	79.0259	44.0837	40.5757	30.9269	NA	40.683	29.3937	NA	32.9636	43.469	NA	NA	57.9313	68.9923	137.881	82.2412	97.0791	95.376	164.066	128.539	66.6811	124.639	114.899
Q9BV40	VAMP8	NA	NA	37.4847	NA	NA	38.3854	NA	NA	NA	NA	NA	30.3463	26.0625	NA	NA	NA	NA	NA	NA	NA	16.2743	NA	NA	13.0426	NA	NA	29.7642	NA	NA	NA	NA	NA	NA	NA	NA
Q9BV44	THUMPD3	33.1097	25.8989	34.8746	23.3389	37.6562	36.065	35.6338	40.1144	32.2359	30.4564	38.3065	NA	30.4789	34.9689	31.5985	24.0152	22.0883	NA	31.2116	36.4428	24.4462	27.2338	41.7193	22.8816	29.8553	NA	39.3461	25.8198	38.8953	41.5241	51.887	36.3484	33.5687	44.4302	47.1636
Q9BV57	ADI1	40.6293	59.779	40.7164	42.7748	41.4874	35.477	31.7181	35.9075	29.2793	26.8263	32.7304	46.3221	24.9158	30.412	35.7484	15.9924	21.0268	30.3315	31.0607	30.0765	NA	33.5155	39.3323	NA	12.0736	36.9622	16.8388	17.0011	27.4044	48.9125	31.8371	11.9777	25.422	36.3042	53.8372
Q9BV68	RNF126	NA	NA	22.4997	NA	NA	NA	23.721800000000002	20.3022	NA	29.2128	NA	NA	NA	NA	NA	25.3299	24.1054	27.7383	NA	NA	NA	20.9226	NA	NA	28.3539	35.3979	31.0632	NA	NA	27.1129	NA	36.6258	NA	NA	18.7028
