Protein.Group	Genes	CGGA_P137	CGGA_P173	CGGA_P271	CGGA_P647	CGGA_P660	CGGA_P736	CGGA_P778	CGGA_P802	CGGA_P83	CGGA_P153	CGGA_P295	CGGA_P679	CGGA_P698	CGGA_P714	CGGA_P737	CGGA_P151	CGGA_P179	CGGA_P541	CGGA_P658	CGGA_P687	CGGA_P699	CGGA_P704	CGGA_P711	CGGA_P721	CGGA_P84	CGGA_P882	CGGA_2103	CGGA_P1088	CGGA_P109	CGGA_P401	CGGA_P411	CGGA_P568	CGGA_P633	CGGA_P653	CGGA_P87
O60936	NOL3	45.891	23.7985	59.4629	64.4743	27.2318	31.6125	33.4574	31.7537	45.275	44.4322	141.627	67.6291	24.5617	38.5916	35.7121	56.2905	64.0604	53.6796	38.2646	54.6602	51.438	31.3935	65.1466	45.5311	49.9257	27.9332	27.1313	25.3338	32.2499	55.5784	47.0464	17.2675	41.9648	49.7467	28.5848
O60939	SCN2B	39.6956	32.8187	49.1778	41.8802	29.6219	56.2524	69.5896	51.7226	47.8752	55.262	44.6726	81.9151	40.0667	74.7046	63.7459	167.602	200.496	154.87	67.7573	77.5444	147.111	70.3882	169.266	160.206	99.3052	69.8548	NA	57.3184	NA	49.2841	14.9517	NA	23.784300000000002	NA	54.9646
O60942	RNGTT	NA	NA	7.39618	NA	NA	33.9402	17.6094	29.2353	14.1413	NA	NA	16.4898	NA	NA	NA	NA	40.5797	NA	NA	NA	NA	NA	20.3154	NA	NA	NA	20.458	19.9836	30.4271	NA	32.0944	6.46047	NA	18.9036	24.4002
O75027	ABCB7	133.934	148.976	291.73	233.665	161.694	118.177	76.4915	172.293	275.981	111.466	74.3769	154.771	97.6596	102.78	129.331	73.688	53.2149	58.8226	93.21	97.2602	77.8363	84.6588	96.4453	79.9669	94.0493	58.6273	118.167	147.622	82.1161	95.6496	41.5709	90.048	212.868	209.159	81.0841
O75037	KIF21B	38.403	42.0857	26.2885	23.1877	38.9524	41.5761	32.9529	26.1635	32.5367	NA	NA	20.4848	36.4442	40.881	24.0821	40.879	28.9739	26.888	NA	44.9303	31.7654	32.1242	20.5073	39.7412	36.119	24.0791	NA	26.7527	NA	28.7676	38.663	35.3858	38.0227	NA	NA
O75044	SRGAP2	48.6955	64.9924	56.5481	84.2032	73.7767	73.9063	85.4074	79.6771	89.254	109.228	66.81	71.8815	106.687	104.909	85.4507	93.423	73.3534	75.1349	84.04	96.3977	80.6133	83.5822	85.6203	100.357	78.5246	54.8855	75.4102	76.9775	65.7445	72.3087	69.4333	68.416	86.1821	75.7931	84.4427
O75051	PLXNA2	38.1527	28.59	31.4544	36.3181	33.1852	40.0381	33.986	44.4015	NA	18.3887	41.1391	38.77	29.6606	20.5576	40.2466	53.0159	51.7201	62.8271	41.351	39.5901	50.2191	52.0961	53.744	44.2366	45.2383	49.5319	NA	39.4025	NA	38.1847	27.4109	27.6491	35.0159	NA	36.0459
O75052	NOS1AP	71.0741	83.137200000000007	78.3801	73.8956	68.8828	65.3772	53.0881	83.1707	60.6292	84.9837	66.4697	52.0724	90.9943	103.324	93.3861	65.8786	39.1681	NA	67.308	60.7853	34.3888	64.1519	58.4253	NA	73.4729	56.598	103.043	69.2925	110.849	74.6076	86.9679	79.1788	72.2449	66.9424	95.9892
O75054	IGSF3	11.3518	30.1703	NA	36.1447	18.8191	16.5618	11.1796	24.4028	11.9363	NA	16.2821	17.8959	16.024	NA	32.2169	17.5964	15.9622	14.9044	9.11572	NA	33.2491	15.8546	16.2896	16.0999	17.6476	17.9447	12.5953	20.9224	NA	NA	8.71498	NA	7.62379	NA	20.6525
O75056	SDC3	88.5946	103.716	71.2644	52.9029	102.008	80.1019	47.2691	90.9126	85.5022	51.4144	85.9208	110.244	87.0199	115.685	87.9721	94.8244	53.1263	71.1114	58.2035	79.1234	69.6534	84.0222	79.932	89.985	88.4775	123.544	NA	56.2801	NA	79.8191	56.4983	48.7489	NA	37.8985	NA
O75061	DNAJC6	48.4884	42.5446	90.4075	119.986	38.7609	97.609	102.593	82.6009	53.0432	128.2	98.2884	90.7132	112.109	79.8522	137.661	252.601	323.982	239.081	168.241	162.287	220.393	223.517	213.138	195.971	168.033	181.42	NA	92.8883	NA	123.308	42.0895	32.1962	95.3794	45.1628	102.222
O75064	DENND4B	NA	NA	13.6653	19.4556	NA	18.0488	14.1616	12.5099	NA	20.5323	NA	NA	17.85	NA	NA	25.392	28.7046	27.9202	14.8456	16.6521	27.1098	21.3173	NA	23.087	15.2006	27.864	NA	NA	NA	20.8103	NA	NA	NA	NA	NA
O75077	ADAM23	24.5811	10.0694	42.1887	55.083	15.6426	49.7233	72.2717	44.2404	NA	62.0263	64.2262	153.595	73.9468	89.2034	81.4335	105.912	181.321	149.928	93.0438	78.243	122.993	105.503	133.32	115.913	82.5253	123.681	NA	70.7449	NA	69.4278	11.3026	NA	45.8182	NA	38.0761
O75078	ADAM11	NA	NA	24.379	22.2688	NA	28.911	22.0654	NA	NA	26.4882	NA	38.6126	28.903	27.284300000000002	35.2663	43.9947	49.9143	49.2305	30.301	38.8093	44.7295	43.0584	53.3224	46.5053	36.3022	42.333	NA	NA	NA	NA	NA	NA	46.6687	NA	NA
O75083	WDR1	1283.91	1288.74	1703.12	1329.14	956.148	1192.48	1149.69	1795.94	1028.92	1733.75	1769.42	1102.81	1348.36	1002.02	1669.16	998.124	946.907	1009.35	1130.3	1248.11	893.984	951.905	1052.5	902.188	1117.38	1075.03	920.144	870.759	1324.12	1069.22	1014.06	681.318	1476.39	899.197	1105.76
O75084	FZD7	41.0381	32.8176	32.5652	56.4451	72.8408	56.2409	40.86	97.9988	50.1429	22.561	32.1079	31.4323	37.1457	34.3677	58.0002	28.5765	25.9952	NA	27.7581	43.8416	46.319	29.5403	63.3538	51.1642	29.6742	36.3008	30.1415	NA	44.324	NA	NA	NA	20.1881	NA	NA
O75093	SLIT1	NA	NA	NA	NA	NA	NA	NA	NA	15.1116	NA	NA	NA	NA	NA	NA	15.7912	NA	28.1669	NA	NA	10.9731	27.8991	17.2172	16.0151	17.7203	24.6885	22.5199	NA	NA	10.826	17.0868	14.9515	NA	31.8557	NA
O75096	LRP4	30.5437	30.0419	42.435	32.0171	31.2996	29.8488	30.863	35.7462	46.9294	29.6844	39.7933	31.8715	34.3714	NA	33.5671	25.3496	33.7532	38.9106	32.2309	28.0882	31.1552	26.8163	36.7733	14.4881	32.0198	30.0114	61.1004	31.1866	40.3629	23.1155	22.1322	38.2529	50.9246	39.647	40.9795
O75110	ATP9A	77.8616	56.846	62.7007	45.5225	70.4915	71.1107	57.4265	67.8248	60.7625	73.0472	69.3162	93.2212	69.1433	85.1288	69.2061	85.6839	103.022	80.77	64.5652	48.7926	73.9454	65.7534	88.3173	69.3505	78.6898	76.7008	NA	69.8068	27.621	59.46	54.222	41.0125	44.3628	31.9181	56.8805
O75112	LDB3	NA	NA	20.1762	NA	NA	NA	NA	NA	NA	52.0157	11.4762	47.0291	NA	NA	28.3382	NA	14.9975	NA	29.108	23.7481	NA	NA	19.8472	NA	NA	NA	NA	23.7405	NA	NA	NA	NA	NA	NA	NA
O75116	ROCK2	132.53	158.662	139.491	167.462	154.971	149.874	177.538	179.86	151.838	163.615	136.924	109.515	132.288	127.092	207.08	202.736	238.293	198.972	171.445	163.511	214.246	182.712	167.157	193.47	171.419	184.764	107.253	179.137	124.868	172.637	97.7413	88.291	114.589	109.116	177.426
O75122	CLASP2	146.145	142.6	151.11	134.221	139.049	135.193	130.728	116.773	167.758	169.073	102.944	112.403	140.64	140.186	126.955	143.885	151.608	138.703	142.06	149.62	128.875	166.923	132.751	133.789	167.466	167.57	72.9197	174.139	76.201	124.693	88.5574	130.664	122.91	150.665	117.309
O75127	PTCD1	NA	24.1652	NA	NA	25.386	NA	10.3063	NA	36.7857	NA	NA	NA	21.4023	NA	23.4594	NA	NA	NA	NA	NA	NA	28.5017	NA	NA	21.5777	NA	NA	29.7263	30.2926	NA	NA	24.8499	39.7259	30.4803	NA
O75129	ASTN2	32.9755	19.0316	16.1848	23.1711	18.3132	NA	9.44926	26.7178	NA	17.1321	NA	14.3435	NA	24.3197	30.2439	9.53409	12.3788	22.9258	15.3275	14.0141	10.0238	NA	NA	12.9477	19.7694	20.5887	NA	NA	NA	NA	NA	10.7432	NA	NA	NA
O75131	CPNE3	1597	1789.39	1815.88	1098.75	1856.69	2236.45	1301.5	1828.81	1470.18	1379.92	1037.47	1428.27	1002.46	1348.45	1591.12	796.86	547.788	507.15	1080.2	1405.65	802.761	834.871	1014.05	1160.75	1246.27	1198.35	625.542	1456.9	850.305	1548.39	1036.43	1779	1008.73	1209.21	689.934
O75143	ATG13	12.6687	6.89928	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.0067	14.5297	17.1171	19.2672	14.9775	10.7719	14.7376	10.3481	9.5524	15.4092	10.7677	NA	NA	13.0164	10.5658	17.0236	NA	NA	16.3879	NA	NA	15.7292	15.4235	NA
O75144	ICOSLG	NA	NA	32.8975	NA	32.5021	24.9406	25.8979	33.9317	NA	79.1866	28.2609	54.4067	NA	67.5807	36.7844	NA	27.6909	27.5639	44.9344	41.8467	NA	NA	52.3708	27.2907	NA	22.9988	33.7387	26.6172	42.615	23.2937	NA	29.7831	36.939	20.9677	NA
O75145	PPFIA3	41.3619	56.9634	51.2362	73.0678	41.7817	66.9016	77.2937	61.6084	53.2038	54.9134	43.3692	56.0599	83.364	63.0737	79.2885	156.534	139.215	125.219	82.3219	68.767	116.641	135.144	99.4277	125.985	111.822	113.566	NA	63.6162	44.1965	68.8826	35.6161	36.4049	73.2501	24.6749	72.0344
O75146	HIP1R	60.0086	53.8702	49.1356	66.5566	63.847	72.4065	70.6086	56.4551	61.5799	59.2781	45.4451	58.6014	31.5258	50.1858	62.8425	41.6767	55.2363	59.168	62.9183	143.946	60.251	47.8896	65.4732	59.7466	58.9036	57.7455	43.6086	105.444	28.7114	66.7806	66.6389	122.271	45.2545	56.2532	92.0032
O75150	RNF40	19.8923	32.4515	27.587	26.4914	30.1671	32.2732	27.5164	27.4015	34.5559	23.7102	NA	26.3288	33.3959	35.9536	25.9643	18.2377	20.6365	23.1852	23.607	38.1007	22.2455	30.2599	27.8993	NA	23.0795	30.148	35.9969	31.2081	34.7651	36.8485	35.5888	46.39	35.9557	38.8313	41.6727
O75152	ZC3H11A	8.42493	11.1603	NA	NA	11.3112	11.3562	12.436	NA	16.3868	NA	NA	NA	13.5086	NA	NA	NA	NA	NA	13.2184	9.31782	6.1409	14.2812	NA	NA	12.0044	11.5023	40.3936	34.3933	15.6644	11.6655	17.4057	25.2775	10.5262	20.5375	29.4695
O75153	CLUH	47.833	50.4185	62.9521	50.9367	49.9909	61.2227	48.6888	43.1664	54.5693	49.6129	52.7532	52.3221	58.0769	42.8425	49.5329	54.7691	58.1664	64.8181	66.77	80.045	51.6166	60.9056	58.3621	41.0139	54.5933	55.6866	58.6446	50.6009	38.3646	70.5963	53.5524	55.7754	58.049	77.7746	48.891
O75155	CAND2	35.6359	30.8772	30.2109	41.4295	29.3188	35.8743	34.8017	44.3393	33.8334	32.4453	NA	NA	28.9625	27.9669	41.8138	35.9399	41.996	32.3951	31.0363	33.1456	36.2902	30.9679	NA	32.641	41.85	45.5084	NA	NA	40.7484	33.9413	33.5523	26.9431	NA	28.1811	40.6877
O75157	TSC22D2	17.4252	17.9248	17.034	25.5296	21.8113	22.4509	15.1283	14.8308	16.4051	18.1355	15.4812	24.4701	26.9819	21.1939	21.1619	20.6192	23.5811	27.4467	17.0255	24.2054	28.0016	30.972	29.8916	29.4347	24.1674	24.1397	12.7144	20.7771	14.2345	17.2301	19.5668	12.8385	19.6369	19.2119	18.8963
O75165	DNAJC13	70.9235	83.9543	73.3811	75.9584	83.4729	74.7764	86.4139	76.6945	69.3051	100.274	50.7447	98.7524	97.0289	91.9566	82.458	63.0567	52.4907	74.3008	76.6128	77.3243	67.0871	70.476	63.0177	69.4443	74.7522	59.5515	103.652	118.338	106.798	77.3014	102.095	75.7381	95.5501	75.6519	81.8164
O75170	PPP6R2	58.9087	53.9356	59.6917	53.2108	57.3569	69.9601	44.4522	48.6967	70.2834	51.6158	52.8142	43.4018	66.5706	46.8301	58.9205	89.1895	81.8269	66.8637	59.7249	64.3907	70.8697	71.8078	60.3752	101.347	79.239	70.8958	56.0286	52.5595	37.4898	54.2033	36.3408	54.6672	41.5993	37.4661	54.8019
O75175	CNOT3	39.2601	42.5611	50.2027	45.1639	44.9371	42.1718	38.2702	42.8559	52.5088	45.8204	39.9723	71.7094	54.643	41.9929	54.9211	35.3527	38.1163	49.1718	46.3002	41.283	41.0018	41.229	39.0335	38.1189	48.2195	43.6851	50.4439	41.616	46.2196	44.8141	45.2683	67.2536	43.5478	48.407	61.2791
O75177	SS18L1	1.22988	2.51063	NA	NA	2.45962	NA	NA	NA	NA	NA	NA	NA	1.66369	NA	NA	3.18567	NA	NA	NA	NA	NA	NA	NA	NA	3.28415	NA	NA	NA	NA	NA	6.73319	NA	NA	4.01482	2.20251
O75179	ANKRD17	19.2981	24.5387	14.9783	21.2776	25.8183	16.8762	17.4648	19.9007	20.4857	19.8759	15.931	11.86	19.0985	18.8209	17.7452	10.9424	11.5047	11.3686	16.1935	16.0679	16.1609	18.1019	9.63134	18.3539	20.2148	15.4934	29.9955	26.3379	27.555	24.9253	33.2156	29.3576	25.5281	30.173	21.597
O75190	DNAJB6	71.9665	41.5468	39.1319	87.3856	50.1923	41.0698	58.6193	61.4425	42.6982	64.1304	NA	NA	NA	NA	NA	68.1498	62.3941	47.0953	46.5963	66.4927	79.9902	70.6969	NA	63.2992	67.4064	74.69	NA	77.9631	90.3734	42.1468	36.3723	71.4651	45.9448	64.4349	NA
O75191	XYLB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.9488	15.6804
O75208	COQ9	71.3859	58.7791	120.973	129.231	69.1935	75.5655	44.1612	68.3398	165.212	82.2306	85.7205	69.946	84.1559	45.8941	50.5426	89.3713	94.2714	109.721	82.7628	102.968	102.489	65.783	78.9501	74.2149	67.1623	66.1714	69.094	60.5007	63.2738	77.8235	56.1633	80.4584	89.2679	108.106	51.7924
O75223	GGCT	103.715	121.945	191.87	147.613	96.7156	161.122	125.615	152.657	94.3811	182.604	157.241	155.781	280.985	139.457	140.801	179.055	154.493	161.659	161.842	194.212	144.704	127.619	123.962	177.128	151.09	124.371	78.8295	107.432	158.103	129.726	120.272	119.9	103.513	81.6699	135.73
O75251	NDUFS7	234.923	228.387	124.797	239.303	252.931	181.466	123.817	155.548	108.678	99.7336	137.275	187.001	153.545	199.615	183.349	317.048	381.516	221.305	188.781	166.082	240.644	238.076	219.407	124.272	230.225	204.541	142.752	219.928	105.567	186.146	91.193	178.537	118.951	173.225	163.268
O75306	NDUFS2	296.872	276.22	141.008	287.728	360.34	208.928	148.513	152.577	166.133	135.229	224.611	222.803	209.747	226.106	226.646	363.363	433.467	376.663	226.913	209.633	367.924	305.801	303.131	229.956	280.181	287.654	230.326	368.325	158.354	283.571	170.393	286.154	138.794	245.071	257.892
O75312	ZPR1	43.8769	41.6725	64.9346	39.3872	46.9875	40.6507	42.3193	41.2175	42.1044	41.0131	56.5788	36.4021	52.9949	43.6507	48.0021	34.8051	27.4531	29.0969	40.9558	46.4815	32.1162	42.8531	37.2172	28.4715	35.7226	33.9376	69.6029	44.5884	47.4035	46.5526	62.4694	44.5862	47.8429	56.544	62.9376
O75323	NIPSNAP2	935.838	694.546	1278.4	1122.13	742.971	781.211	422.647	594.039	1236.41	507.015	549.381	768.495	358.666	355.994	446.675	547.237	609.887	549.256	614.941	618.844	575.27	488.362	419.859	564.431	645.18	503.862	350.223	523.511	363.465	417.306	363.676	405.67	697.584	545.205	357.991
O75325	LRRN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75326	SEMA7A	NA	35.1127	30.8871	NA	30.8906	24.7183	11.7954	NA	NA	73.0413	44.1437	66.6482	NA	47.4759	46.2651	25.9266	42.3643	50.0357	45.0316	41.1388	34.4893	26.9829	51.9329	38.8783	NA	32.1169	NA	61.5161	35.4081	63.2816	NA	36.5166	NA	NA	27.9645
O75334	PPFIA2	25.1793	37.7494	42.945	62.9365	39.7546	45.1702	38.02	53.8762	42.7907	32.6719	48.2245	53.3988	54.1148	NA	49.7626	99.3694	79.8488	73.3542	56.116	49.2026	70.9157	96.1644	66.5633	70.6219	75.9918	100.799	143.67	55.9579	100.115	40.9931	50.3861	NA	58.2257	NA	44.9723
O75335	PPFIA4	NA	NA	NA	30.8053	NA	NA	16.1263	23.6229	13.6388	11.4956	NA	NA	20.2426	18.0368	NA	21.5775	29.6111	26.9972	14.9123	23.9979	27.9868	25.5613	NA	NA	19.6806	23.0623	NA	NA	NA	12.8342	NA	NA	NA	NA	31.7824
O75339	CILP	55.1518	40.9976	50.8574	44.475	45.4832	29.7642	28.3175	16.2982	40.0606	40.191	33.7679	23.5071	28.4372	32.991	NA	18.593	17.6414	29.1307	23.1441	45.5418	23.6235	20.8427	27.7123	22.4928	30.3238	NA	34.2727	51.8293	40.2016	29.0496	37.9837	41.7845	23.5753	40.8961	30.8665
O75340	PDCD6	1027.24	882.878	772.905	735.693	787.414	805.751	540.435	872.972	723.476	768.33	534.639	781.163	641.099	836.323	817.797	502.533	475.639	512.497	594.055	990.551	669.308	742.2	655.175	586.845	768.708	700.051	299.566	764.865	504.118	639.864	386.5	753.481	661.499	676.496	296.325
O75347	TBCA	271.835	235.169	289.226	245.125	264.173	281.759	239.319	249.394	264.055	299.779	562.851	271.25	623.933	329.252	232.318	287.373	217.613	202.672	231.172	257.767	206.918	252.748	271.385	243.338	287.47	355.063	507.208	255.946	189.438	432.217	441.978	434.05	322.257	386.705	538.189
O75348	ATP6V1G1	65.4043	62.9031	57.1553	82.5577	65.2211	78.865	83.5252	97.1847	55.1331	131.455	123.675	119.726	155.538	89.7118	130.574	68.9244	89.324700000000007	104.562	114.279	62.3135	100.137	98.6492	152.812	42.5209	75.8384	164.266	121.764	80.8652	70.9537	118.562	159.523	114.388	104.029	106.274	86.2035
O75351	VPS4B	262.47	275.269	240.135	239.093	254.267	253.981	206.395	239.305	270.511	308.363	210.999	162.685	225.156	238.814	203.142	150.731	190.104	177.25	248.771	258.014	210.516	237.09	211.804	210.152	199.644	229.212	193.658	251.974	212.432	245.896	218.655	226.453	213.144	214.998	240.987
O75352	MPDU1	478.79	218.309	363.788	283.954	578.5	304.208	371.926	193.666	276.926	209.623	321.729	607.908	534.949	355.348	226.712	174.48	168.52	174.8	349.945	305.947	258.271	253.078	275.946	348.959	298.115	400.945	498.56	443.354	488.521	550.172	567.292	588.217	462.555	323.239	265.028
O75355	ENTPD3	NA	NA	13.3434	30.1488	NA	16.1155	19.8216	13.9435	NA	NA	NA	17.9504	10.4898	NA	22.1648	27.3494	34.0639	48.4672	15.6807	18.1435	39.9613	19.6613	29.9832	26.7497	26.7885	26.7324	NA	NA	NA	18.3059	NA	NA	NA	NA	NA
O75363	BCAS1	33.7976	83.2176	198.05	34.5885	39.8954	71.803	41.2163	54.0048	63.1739	736.117	234.797	287.361	45.1209	203.571	198.023	41.0571	244.726	159.465	474.475	285.22	162.117	62.1891	614.227	173.198	76.6129	58.1523	NA	273.491	91.9507	121.762	44.1094	NA	101.848	42.399	73.0044
O75365	PTP4A3	13.6738	NA	NA	NA	13.4841	12.7415	NA	13.231	NA	NA	NA	NA	25.6526	18.0699	NA	8.00502	15.4904	NA	10.3954	NA	16.4503	NA	NA	23.5782	11.1212	NA	NA	NA	NA	NA	NA	44.6913	26.2879	25.9415	NA
O75367	MACROH2A1	37.9008	71.2509	NA	24.1275	78.8582	50.0612	50.4969	71.497	61.5331	NA	31.5345	323.867	88.3282	NA	NA	35.0101	NA	NA	22.1505	NA	37.1296	42.1677	45.3722	87.2805	58.8763	53.0885	74.3436	155.269	93.8423	133.933	75.1327	40.7881	74.2047	53.4861	70.8244
O75368	SH3BGRL	586.06	648.998	683.949	690.419	544.351	612.387	586.484	823.664	495.058	715.415	601.071	624.358	730.018	1004.21	792.829	406.016	357.211	392.164	633.554	695.29	510.234	515.336	407.336	411.504	510.514	450.765	240.83	473.913	544.656	573.195	260.91	341.02	517.727	492.671	395.843
O75369	FLNB	228.709	255.729	206.731	210.105	273.217	289.63	148.529	379.587	155.476	327.96	264.375	188.855	115.868	270.747	252.337	64.9919	70.3512	92.5745	167.106	176.403	174.963	103.179	154.86	149.686	132.49	114.614	184.353	211.91	244.822	169.19	113.797	199.157	92.4107	141.886	123.511
O75376	NCOR1	1254.17	NA	NA	716.99	837.49	1183.87	421.284	762.992	NA	NA	NA	855.771	NA	838.049	379.821	NA	NA	NA	84.2043	NA	209.845	121.905	NA	245.655	72.0111	NA	65.2807	94.3182	255.45	NA	87.5474	NA	389.752	157.593	NA
O75379	VAMP4	22.2739	18.878	18.2409	14.7077	NA	12.5503	NA	NA	18.6448	14.4942	11.419	NA	14.5321	NA	NA	8.39999	12.1285	NA	NA	NA	NA	10.7051	NA	NA	16.7057	9.61539	8.06281	NA	NA	12.3155	11.0643	11.8641	8.52357	NA	NA
O75380	NDUFS6	105.243	87.3424	29.1244	77.8961	114.129	71.7115	48.1116	36.4002	65.3366	31.2348	78.0452	74.0563	71.4236	56.2741	75.2446	111.587	117.452	103.664	64.7825	81.0003	117.809	85.1744	124.334	74.9801	113.795	121.689	33.628	129.566	NA	72.5425	NA	100.13	57.1066	46.1643	89.9391
O75381	PEX14	45.439	31.1895	34.1755	32.2475	37.9893	33.5247	40.7874	42.3191	42.623	33.2365	34.4709	44.6023	43.8763	46.9663	29.075	28.5672	40.1378	29.128	28.9305	36.6446	42.8503	28.2719	41.3177	27.0833	31.3354	22.5983	28.1606	37.7464	32.7234	37.3608	32.313	36.8754	28.4429	54.9022	40.7626
O75382	TRIM3	30.7301	38.9326	34.94	52.2487	37.6012	59.533	53.2818	42.8826	56.1049	82.3993	42.6964	48.4761	84.6355	58.1517	62.8655	94.906	96.9452	85.9798	66.6086	56.7242	55.9814	87.1806	66.7757	67.7186	63.3088	78.8825	34.2006	50.3137	40.7439	46.4357	23.0037	30.4079	47.2404	31.8492	52.4008
O75390	CS	1349.84	1260.8	2421.72	2128.98	1099	1426.57	1142.22	1119.67	2766.72	894.2	1352.27	1633.93	1087.29	828.708	1233.6	1887.65	2254.58	1982.24	1482.92	1280.87	1707.4	1702.56	1614.78	1472.53	1384.67	1616.25	1194.07	1591.33	628.497	1552.04	975.244	1079.86	2004.6	2624.78	1414.08
O75391	SPAG7	20.5241	NA	16.1853	NA	30.9662	26.3713	19.6033	28.0566	25.5882	NA	NA	NA	27.4143	NA	25.5774	15.2618	NA	NA	18.3292	19.7907	23.2982	12.8587	NA	NA	19.7702	NA	NA	NA	NA	22.3954	25.987	29.2013	27.717	21.5694	NA
O75394	MRPL33	16.7617	9.51998	14.7434	15.687	6.90507	11.067	NA	NA	NA	NA	NA	NA	6.82088	NA	NA	7.75415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.4262	NA	16.9931	16.5964	39.3429	NA
O75396	SEC22B	381.134	400.82	412.059	332.407	398.857	313.036	406.61	319.299	314.257	490.881	249.309	210.547	450.45	408.152	324.994	314.766	325.066	237.291	336.671	277.955	280.674	297.718	280.057	303.787	437.415	468.706	520.661	558.246	332.533	332.109	392.768	258.092	438.771	330.971	359.542
O75400	PRPF40A	40.0863	59.3817	35.3729	34.4013	60.5666	65.0158	56.5025	63.3288	61.6461	44.9686	NA	52.7563	64.8348	53.9923	66.6401	20.2477	29.8105	NA	45.0303	54.8119	22.229	31.016	43.4867	20.726	41.1543	43.8993	87.8152	129.729	79.0923	72.3805	87.1236	90.3807	67.8811	62.3837	87.7543
O75410	TACC1	55.0403	55.6405	51.0275	67.2352	41.8387	39.9131	57.8151	46.9668	51.6283	70.0288	54.6007	53.2962	60.1731	55.2241	52.4684	49.5141	46.6869	40.8488	48.8218	46.4993	51.549	50.8207	61.1837	49.7076	59.3112	55.2238	46.6141	41.1706	31.1011	43.1835	39.7924	36.4989	47.3554	44.5874	34.2421
O75414	NME6	5.08953	6.03736	8.68351	5.36399	6.10865	NA	NA	4.74386	9.96393	2.71512	NA	NA	NA	NA	NA	3.22475	NA	NA	NA	3.54779	NA	3.53236	NA	NA	6.08289	NA	6.94278	5.58123	4.61548	NA	7.60185	5.72256	6.29263	NA	NA
O75431	MTX2	49.4032	57.5004	64.312	46.7656	58.159	59.7725	43.0813	61.7708	77.5518	30.5749	39.4151	63.0503	51.4355	43.0804	52.683	44.2823	43.9007	44.8897	34.0989	39.208	46.6783	43.1836	53.4101	41.784	31.1316	38.5728	42.7703	51.4414	45.5413	46.4795	44.8613	53.5872	56.828	53.7669	55.7302
O75436	VPS26A	216.473	223.317	204.28	266.721	214.385	257.048	232.684	256.388	159.484	304.167	278.928	242.533	270.374	255.754	290.54	263.957	248.831	272.946	241.339	239.413	231.303	250.296	241.818	196.902	271.131	244.692	223.116	256.555	294.665	267.135	196.442	221.545	246.078	169.655	306.359
O75438	NDUFB1	87.4809	83.5761	NA	93.0375	126.058	49.2799	58.3687	50.1605	151.044	8.31266	59.9441	149.59	47.3987	66.6325	35.3187	140.247	111.964	176.654	34.8589	74.7432	182.472	107.742	209.273	109.857	51.1159	171.836	74.337	185.535	50.1693	79.7322	86.9916	184.222	61.2468	81.6826	207.614
O75439	PMPCB	109.077	101.449	120.514	113.718	125.827	109.777	99.2111	107.576	149.998	80.564	111.348	110.649	86.3346	70.7215	74.8982	106.252	97.5553	95.259	89.1725	109.051	116.348	104.741	88.473	84.6473	99.0712	105.252	112.2	142.273	79.5075	119.027	83.3305	113.437	137.685	162.682	110.346
O75448	MED24	NA	16.6536	NA	NA	17.1022	22.179	12.7098	22.393	17.9184	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.10531	10.3226	NA	NA	NA	NA	12.7842	11.605	28.2685	15.89	16.8292	28.3028	25.5032	22.6429	15.4754	15.7955	29.7537
O75462	CRLF1	NA	NA	NA	22.0654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.4654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O75467;Q6AW86	ZNF324;ZNF324B	NA	NA	NA	427.441	297.435	NA	NA	400.609	410.843	NA	NA	NA	NA	NA	NA	NA	NA	NA	470.306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	399.114	NA	400.694	393.951	357.625	467.324
O75475	PSIP1	124.711	111.103	103.395	80.85	134.561	117.132	58.8047	126.978	175.182	110.957	70.313	123.799	83.0573	125.894	89.9328	45.4792	91.0331	50.7698	65.5476	116.814	53.4473	71.8143	106.081	70.7859	86.99	68.1217	53.303	124.161	86.6113	111.086	146.746	113.996	53.7721	88.2367	112.423
O75477	ERLIN1	88.8453	69.2376	NA	35.9198	113.615	29.4569	16.7169	NA	115.735	32.9174	52.869	73.2352	62.3672	77.273	56.3351	NA	37.3513	24.0318	39.0135	28.8214	54.5456	NA	35.1558	NA	18.8786	35.1737	78.0902	104.53	58.6495	29.0367	NA	93.5362	20.6548	104.872	102.331
